text,language,class,label,source_id,text_proc,n_chars,n_words,rep_unigram,rep_trigram,is_artifact,detected_lang_raw,detected_lang_conf,detected_lang,is_code_switched
Labarin 'yan Adam shine labarin maza da mata da suka sayar da kansu gajere - Abraham Maslow.,Hausa,0,Not Hate,2024,Labarin 'yan Adam shine labarin maza da mata da suka sayar da kansu gajere - Abraham Maslow.,92,17,0.0,0.0,False,hau_Latn,1.000009298324585,Hausa,False
Ọ bụrụ na ị gaghị nyochaa ihe niile Kemi kwuru ma gaa n'ihu ọha na-ekwu okwu ụgha ya mgbe ahụ ị bụ a worm. Otunba a nwụrụ site Ulcer na ọ bụghị Coro dị ka nwaanyị a crazy chọrọ ka ndị mmadụ kwere.,Igbo,1,Neutral,4185,Ọ bụrụ na ị gaghị nyochaa ihe niile Kemi kwuru ma gaa n'ihu ọha na-ekwu okwu ụgha ya mgbe ahụ ị bụ a worm. Otunba a nwụrụ site Ulcer na ọ bụghị Coro dị ka nwaanyị a crazy chọrọ ka ndị mmadụ kwere.,196,43,0.0,0.0,False,ibo_Latn,1.0000098943710327,Igbo,False
"Ya ku Arewa Twitter, Naga Hausa na yanzu na zamani Duk wanda yah zagi yaranmu nah Hausa kuh cimasa uwa.",Hausa,1,Neutral,364,"Ya ku Arewa Twitter, Naga Hausa na yanzu na zamani Duk wanda yah zagi yaranmu nah Hausa kuh cimasa uwa.",103,20,0.0,0.0,False,hau_Latn,0.9984608888626099,Hausa,False
Ịtụgharị uche bụ mma agha nwere ihu abụọ. Ọ na-agbasa ụzọ abụọ. Kwuo okwu n'ezie. Ma egbula ihe niile na-eji nnukwu brush stroke maka mpụ ma ọ bụ ezughị okè nke ole na ole. ọ dịghị onye na-emeri!,Igbo,0,Not Hate,2316,Ịtụgharị uche bụ mma agha nwere ihu abụọ. Ọ na-agbasa ụzọ abụọ. Kwuo okwu n'ezie. Ma egbula ihe niile na-eji nnukwu brush stroke maka mpụ ma ọ bụ ezughị okè nke ole na ole. ọ dịghị onye na-emeri!,195,38,0.0,0.0,False,ibo_Latn,1.0000098943710327,Igbo,False
Guardiola na farko da Manchester City ta sanya hannu shi ne Ilkay Gundogan LINK,Hausa,0,Not Hate,3076,Guardiola na farko da Manchester City ta sanya hannu shi ne Ilkay Gundogan,74,13,0.0,0.0,False,hau_Latn,0.9998287558555603,Hausa,False
"Wadannan 'yan kabari, wadanda suka yi ritaya da suka kona motoci a Apo Mechanic a yau a Abuja ba za su iya sayen daya ba, wadannan yara fulani marasa karatu.",Hausa,2,Hate,848,"Wadannan 'yan kabari, wadanda suka yi ritaya da suka kona motoci a Apo Mechanic a yau a Abuja ba za su iya sayen daya ba, wadannan yara fulani marasa karatu.",157,30,0.0,0.0,False,hau_Latn,0.9999105930328369,Hausa,False
"Biafra: A kò ní pààrò Biafra fún ""Ìjọba Igbo"": IPOB sọ fún Okorocha àti Iwuanyanwu pé, àwọn ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹ",Yoruba,0,Not Hate,3517,"Biafra: A kò ní pààrò Biafra fún ""Ìjọba Igbo"": IPOB sọ fún Okorocha àti Iwuanyanwu pé, àwọn ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹ",1225,301,0.9368770764119602,0.939799331103679,True,atg_Latn,0.7424644827842712,Other,True
"Femi ba zai takaici ba, Yoruba maza suna da ilimi da kuma horo.",Hausa,0,Not Hate,2422,"Femi ba zai takaici ba, Yoruba maza suna da ilimi da kuma horo.",63,13,0.0,0.0,False,hau_Latn,1.000003695487976,Hausa,False
"Nítorí pé a máa ń fi òye sọ̀rọ̀ nípa ohun tó ṣe pàtàkì jù lọ, tí ẹ̀bi sì máa ń mú káwọn èèyàn tọrọ àforíjì nítorí àwọn ohun tó jẹ́ ti ẹ̀yà wa.",Yoruba,2,Hate,2095,"Nítorí pé a máa ń fi òye sọ̀rọ̀ nípa ohun tó ṣe pàtàkì jù lọ, tí ẹ̀bi sì máa ń mú káwọn èèyàn tọrọ àforíjì nítorí àwọn ohun tó jẹ́ ti ẹ̀yà wa.",142,33,0.0,0.0,False,yor_Latn,1.0000100135803223,Yoruba,False
Women are scum😢,English,2,Hate,10,Women are scum😢,15,3,0.0,0.0,False,eng_Latn,0.9976215362548828,English,False
"Ma ọ dịkarịa ala, o nwere ihe na-enweghị isi dị ka onye nta akụkọ Sahara iji gbasaa ịkpọasị.",Igbo,2,Hate,658,"Ma ọ dịkarịa ala, o nwere ihe na-enweghị isi dị ka onye nta akụkọ Sahara iji gbasaa ịkpọasị.",92,18,0.0,0.0,False,ibo_Latn,1.0000096559524536,Igbo,False
God can disqualify your enemies to qualify you. God of FRODD did it,English,0,Not Hate,11,God can disqualify your enemies to qualify you. God of FRODD did it,67,13,0.0,0.0,False,eng_Latn,0.9968537092208862,English,False
Kullum kana sa ni hauka,Hausa,1,Neutral,2230,Kullum kana sa ni hauka,23,5,0.0,0.0,False,loz_Latn,0.7374904751777649,Other,True
Àwọn ará Ásíríà tí ń bẹ níhìn-ín,Yoruba,0,Not Hate,3143,Àwọn ará Ásíríà tí ń bẹ níhìn-ín,32,7,0.0,0.0,False,yor_Latn,1.0000100135803223,Yoruba,False
Chineke!!!! Ọ bụrụ na nwa agbọghọ a enye m ìhè na-acha akwụkwọ ndụ m na-ehichapụ m niile m nwaanyị kọntaktị 😭😭😂😂😂,Igbo,0,Not Hate,843,Chineke!!!! Ọ bụrụ na nwa agbọghọ a enye m ìhè na-acha akwụkwọ ndụ m na-ehichapụ m niile m nwaanyị kọntaktị 😭😭😂😂😂,113,21,0.0,0.0,False,ibo_Latn,1.0000081062316895,Igbo,False
Ti a fi sinu,Yoruba,0,Not Hate,5233,Ti a fi sinu,12,4,0.0,0.0,False,jam_Latn,0.5986016988754272,Other,True
: U either don’t know wat Islam is all about or not a real Musl…,English,0,Not Hate,12,U either don’t know wat Islam is all about or not a real Musl…,62,14,0.0,0.0,False,eng_Latn,0.9984235763549805,English,False
Wata mace za ta kwana da wani dan negro mai kudi kawai saboda ba ta da mata isa ta samu kanta shit .,Hausa,2,Hate,799,Wata mace za ta kwana da wani dan negro mai kudi kawai saboda ba ta da mata isa ta samu kanta shit .,100,23,0.0,0.0,False,hau_Latn,0.9999983310699463,Hausa,False
Daga cikin lay lay,Hausa,0,Not Hate,3210,Daga cikin lay lay,18,4,0.25,0.0,False,hau_Latn,0.9975026845932007,Hausa,False
"'Yan uwan Yoruba na yanzu sun fahimci abin da 'yan IPOB suka fuskanta a hannun wadannan mugayen mutane a iko. amma labari mai dadi a nan shi ne, ba kai kadai ba ne a wannan, Najeriya ba ta aiki ga kowa.",Hausa,1,Neutral,2724,"Yan uwan Yoruba na yanzu sun fahimci abin da 'yan IPOB suka fuskanta a hannun wadannan mugayen mutane a iko. amma labari mai dadi a nan shi ne, ba kai kadai ba ne a wannan, Najeriya ba ta aiki ga kowa.",201,41,0.0,0.0,False,hau_Latn,1.0000038146972656,Hausa,False
"A lokacin da na rubuta wannan labarin, yawancin su suna fama da bugun zuciya. ko kuma...",Hausa,2,Hate,1242,"A lokacin da na rubuta wannan labarin, yawancin su suna fama da bugun zuciya. ko kuma...",88,16,0.0,0.0,False,hau_Latn,1.0000097751617432,Hausa,False
": Everywhere is about Biafra,don’t keep calm enjoy the dedicated support of a large group of freedom lovers around…",English,0,Not Hate,13,"Everywhere is about Biafra,don’t keep calm enjoy the dedicated support of a large group of freedom lovers around…",113,18,0.0,0.0,False,eng_Latn,0.9972432255744934,English,False
"Ihere na - eme gị , ndị iberiibe .",Igbo,1,Neutral,6028,"Ihere na - eme gị , ndị iberiibe .",34,9,0.0,0.0,False,ibo_Latn,1.0000100135803223,Igbo,False
Nrụrụ aka dị ebe niile,Igbo,0,Not Hate,1781,Nrụrụ aka dị ebe niile,22,5,0.0,0.0,False,ibo_Latn,1.0000100135803223,Igbo,False
Wata rana mai dadi,Hausa,0,Not Hate,2102,Wata rana mai dadi,18,4,0.0,0.0,False,hau_Latn,0.965481162071228,Hausa,False
"Mr man there are plenty youths in your shops wasting their time getting controlled by your puppets,(naira bet)you will nor talk to them because they are the ones putting money in your pocket... in 3D LINK",English,1,Neutral,14,"Mr man there are plenty youths in your shops wasting their time getting controlled by your puppets,(naira bet)you will nor talk to them because they are the ones putting money in your pocket... in 3D",199,35,0.0,0.0,False,eng_Latn,0.9776789546012878,English,False
"Har yanzu bai samu takardar ba, har yanzu yana sayen karin mummies na Lagos a kullum.",Hausa,1,Neutral,2127,"Har yanzu bai samu takardar ba, har yanzu yana sayen karin mummies na Lagos a kullum.",85,16,0.0,0.0,False,hau_Latn,1.0000054836273193,Hausa,False
Ọ na-agha ụgha ọtụtụ ugboro ma na-achọta mmejọ n'ihe niile na-adịghị n'ụzọ ya. O boro ọbụna Arbery igbu onwe ya na mgbe ahụ insinuated George kwesịrị nwụrụ dị ka ewu n'ihi na o nwere gara aga mpụ ndụ.,Igbo,1,Neutral,4469,Ọ na-agha ụgha ọtụtụ ugboro ma na-achọta mmejọ n'ihe niile na-adịghị n'ụzọ ya. O boro ọbụna Arbery igbu onwe ya na mgbe ahụ insinuated George kwesịrị nwụrụ dị ka ewu n'ihi na o nwere gara aga mpụ ndụ.,200,38,0.0,0.0,False,ibo_Latn,1.0000098943710327,Igbo,False
Ụgbọala ndị na-agba ọsọ na-amasị m,Igbo,0,Not Hate,4003,Ụgbọala ndị na-agba ọsọ na-amasị m,34,6,0.0,0.0,False,ibo_Latn,1.000009536743164,Igbo,False
Northerners spitting trash as usual.. The end of This unhealthy romance btw the North n South is long overdue.. Our way of life n ideologies r way diff..,English,2,Hate,15,Northerners spitting trash as usual.. The end of This unhealthy romance btw the North n South is long overdue.. Our way of life n ideologies r way diff..,153,28,0.0,0.0,False,eng_Latn,0.9838938117027283,English,False
"OMG gay guys ne don haka mai kyau da fashion, Ina da wani gay BFF don haka mu cud shop 2geda",Hausa,0,Not Hate,1742,"OMG gay guys ne don haka mai kyau da fashion, Ina da wani gay BFF don haka mu cud shop 2geda",92,21,0.0,0.0,False,hau_Latn,0.9946932196617126,Hausa,False
Hanyar da Za a Bi,Hausa,0,Not Hate,1919,Hanyar da Za a Bi,17,5,0.0,0.0,False,hau_Latn,1.0000100135803223,Hausa,False
Women that leave there kids one kilometers behind when walking. What's their aim in this life?,English,0,Not Hate,16,Women that leave there kids one kilometers behind when walking. What's their aim in this life?,94,16,0.0,0.0,False,eng_Latn,0.9957979321479797,English,False
Jonathan wanda ya dauki kwanaki 18 don ya yarda cewa BH ya sace ' yan matan Chibok,Hausa,0,Not Hate,269,Jonathan wanda ya dauki kwanaki 18 don ya yarda cewa BH ya sace ' yan matan Chibok,82,17,0.0,0.0,False,hau_Latn,0.9999295473098755,Hausa,False
"Ní báyìí, àwọn ọmọ ogun fulani ti ń fipá bá àwọn obìnrin lò pọ̀, a ti rí i pé àwọn olùṣọ́ àgùntàn fulani, àwọn aládùúgbò fulani àti fulani bokoharam ni àwọn ẹranko pàápàá ń gba ìyọ́nú àwọn obìnrin, èyí tó túmọ̀ sí pé àwọn ọmọ ogun fulani kò ju àwọn ẹranko lọ.",Yoruba,2,Hate,441,"Ní báyìí, àwọn ọmọ ogun fulani ti ń fipá bá àwọn obìnrin lò pọ̀, a ti rí i pé àwọn olùṣọ́ àgùntàn fulani, àwọn aládùúgbò fulani àti fulani bokoharam ni àwọn ẹranko pàápàá ń gba ìyọ́nú àwọn obìnrin, èyí tó túmọ̀ sí pé àwọn ọmọ ogun fulani kò ju àwọn ẹranko lọ.",259,52,0.0,0.08,False,yor_Latn,1.0000100135803223,Yoruba,False
Ihe niile gbasara ndọrọ ndọrọ ọchịchị na ndị a Northern dummies,Igbo,2,Hate,4341,Ihe niile gbasara ndọrọ ndọrọ ọchịchị na ndị a Northern dummies,63,11,0.09090909090909091,0.0,False,ibo_Latn,1.0000090599060059,Igbo,False
Ndị ọzọ na-agbachitere okwukwe ha mgbe ndị Kraịst na-emebi okwukwe ha mgbe ị na-adịghị akwado nna gị onye ga-ekwuchitere gị mgbe olu gị kwesịrị ịnụ.,Igbo,2,Hate,573,Ndị ọzọ na-agbachitere okwukwe ha mgbe ndị Kraịst na-emebi okwukwe ha mgbe ị na-adịghị akwado nna gị onye ga-ekwuchitere gị mgbe olu gị kwesịrị ịnụ.,148,25,0.0,0.08695652173913043,False,ibo_Latn,1.0000100135803223,Igbo,False
