source_id,class,label,text
42,1,Neutral,"You Oyomere people don’t have sense, you know say una door no get lock but una go dey gum body. See idolo now yeye dey smell 😒😒"
43,0,Not Hate,Where can I watch the City match?
44,2,Hate,"Justice? Are you aware of how the FG are defending their fulani people against gov. Akeredolu on ondo state? Why're some yoruba people so senseless and coward fgs, trying to be politically correct while the politicians aint even working"
45,1,Neutral,i hopethey are hearing beast of no burden
46,2,Hate,""": Bitches should not drink alcohol if they cant control that shit"""
47,0,Not Hate,"Nasir must go back to school, not to learn this time but to teach- Fashola"
48,2,Hate,Social distancing in lagos if this was in kano the next the u would hear is all those northerners re illiterate some southern clowns would even calls us animals thank God lagos has lot of animals LINK
49,1,Neutral,"Jamb question, are Fulani not human being this is how d racism started, u are separate ur country man with this so called religion foke"
50,2,Hate,My Hoes ain't loyal mehn they Rotate
52,1,Neutral,:..Ɣou re mad for dt post...don't Ɣou av shame....akhhh...Ɣou re a disgrace to womanhood
53,2,Hate,"Is a hoe. : Dry joke"": :''') "": A girl sleeping with her bosses is also doing her MASTERS"""""
55,0,Not Hate,"I hope and wish this deadly virus ends asap, this is heart breaking"
56,1,Neutral,Africans with greediness? It's not everyone that will get the giveaway bro and you're even using an iPhone....lolz
60,0,Not Hate,This still places men above women. There’s explaining away the misogynistic tendencies of the Bible. LINK
61,0,Not Hate,Coronavirus: Nigeria Senate Suspends Public Hearings Indefinitely LINK
62,0,Not Hate,Mallam literally means teacher in hausa
63,2,Hate,What happens to police men who litter their seed everywhere with women they’re not married to? Nigeria’s sexism and misogyny is terribly institutional. LINK
64,2,Hate,"Yoruba u na eye no go open? .your people are hungry, you still want next level of poverty.There is nothing in Yoruba land that's why you na dey follow follow.Mumu people.Hausa slaves.🤣😂😁"
65,1,Neutral,Rubbish jare !! So why did you buy Lukaku if havertz was really tested. Havertz wey de disappear for game
67,0,Not Hate,But the western world are giving false news saying Ukrainian are winning the war and Russian are loosing army.
68,0,Not Hate,"That's the most cheapest assertion and mind political game I have ever experienced. The Carmel would have passed through the niddle before an Ibo man can rule Lagos. Please oga sanwo olu, kindly change topic and station. LINK"
69,1,Neutral,Both Manchester clubs are useless.
71,0,Not Hate,"Yo boss Rita, I made a video asking girls why they FRIENDZONE guys. My only request is you help me drop a like on the video and subscribe. Thanks, it means a lot LINK"
73,2,Hate,Some of you Igbos and Yorubas are so stupid that you keep fighting each other for no reason why the real enemy is somewhere blowing whistle for u guys. They called all the south vultures and u guys dt claim to be informed are here talking non sense. God pls divide this shit hole.
74,2,Hate,Northerns are the worst hypocrites in the world . No wonder their region is the poorest in the world too ..
75,0,Not Hate,ya kike
76,0,Not Hate,Ati christian o ati unchristian o...ko bojumu. LINK
78,0,Not Hate,": Rain soaked, women put their shoes on the head and marched on LINK"
80,1,Neutral,am d afrik twista. I twist criticizers like u til u stupidly criticize ur crazy self
81,2,Hate,Women are total scums 😔 LINK
82,0,Not Hate,Nurturing young minds around the world the African way ;) LINK
84,1,Neutral,"If I am not mistaken, I am a happily married woman with 3 kids anuohia. U all dont have even an iota of sense."
86,1,Neutral,Illiteracy is a setback... fool
88,1,Neutral,You are a foolish and degenerated fool for lacking wisdom to come on Twitter to post such trash you should be ashamed at yourself. I rest my case. LINK
89,2,Hate,Nigerian Government is responsible. They are the employers of the terrorists. Their sole aim is the Conquest of the whole land and their stooges in the East are giving them the guts to keep attempting the impossible. God will surely destroy Nigeria. LINK
92,1,Neutral,: Every smart person playing dumb should be called...has Gumi met those who are agitating for Biafra &amp; Oodua Republic?
93,1,Neutral,God punish ur father &amp; ur prostitute mother like Nengi.. it’s only a dog 🐕 like ur girl that will open her dirty mouth 👄 &amp; day shenanigans here.. when Nengi has showed her real identity Fucker LINK
94,0,Not Hate,"There's no place in the Bible that states Christians shouldn't eat pig. Despite that, discouraging homosexuality is not the same as hating homosexuals. In fact, all true Christians should love LGBTQ people. Christ didn't turn away 'the adulterous' woman."
95,1,Neutral,You are a mumu you don't have anything to contribute so typed this 🤦🏽♂️
97,0,Not Hate,Same LINK
98,2,Hate,"If it's a boy, he's a King If it's a girl, she's a hoe"
100,2,Hate,*haaa broke Ass bastard filthy shitty bum hole... Gay swine go fuck a whale mustard.... Smelly rusty teeth
101,2,Hate,you cares more about Mali why fulanis are busy killing people in Nigeria. LINK
104,0,Not Hate,"How to use VPN 👉Download any FREE VPN 👉Choose any country you like 👉Tap connect 👉Click get later 👉Then Start Tweeting Gen. Buhari and and Fulani Stupidity. Awon Eranko lasan lasan can't make make , their Slave. If you need info? Tweet it HERE! LINK"
105,0,Not Hate,one person followed me // automatically checked by LINK
106,0,Not Hate,Iwon ba ni idi ma n to bi' I hope my Yoruba is correct 😀
107,2,Hate,": ""Dogs &amp; Baboons will be soaked in blood if I lose"" ~We made him President ""Defend yourselves from Fulani herdsmen"" ~D…"
108,2,Hate,"Igbo is most foolish tribe in the world, according to Uwazuruike. Do you also agree to this? Most of you just come online after getting daily 10mb from network providers to throw tribal slurs. Idiot. LINK"
109,2,Hate,cos dis hoes don't giv sex for free except u are wizkid so y giv dem tips for free
110,0,Not Hate,: A hausa man will not cheat you simply because you don't understand his language or practice his religion!🧏♂️
111,2,Hate,They made them their hoe 😂 LINK
112,1,Neutral,"Lmao the stupidity, I am 6ft 3 inches tall, athletic and i lift weights yet i cannot go out for a walk by 2 am not cos of my gender but the insecurity in Nigeria cannot differentiate between a man and a woman, you dumwit. LINK"
113,1,Neutral,Just annoying couples.
114,0,Not Hate,": A Real Girlfriend: Calls you for NOTHING , texts you alll the time, wants to see you, cries, gets jealous, is over- ..."
115,1,Neutral,He was actually right. So u shut the fuck up.
117,0,Not Hate,"Partey tax.. lokonga is already showing glimpses of being a top midfielder in 2-3 years but partey, I don't even see anything elite in him"
118,0,Not Hate,Trending Nationwide/U.K [New Music] LINK by LINK LINK
119,0,Not Hate,"Matter of fact, if u do, ur jus gay"
121,1,Neutral,How do you want him to do it ? He’s useless. LINK
123,0,Not Hate,": Christians, Pastors Call Us Idiots, Animals For Doing Our Job – Lagos FRSC Commander LINK ."
124,2,Hate,Just say the Arewa people/ Northern Muslims cos they seem to think extremely backwards. Muslims in the West and South are way better than them
125,0,Not Hate,Tops haka kike??? LINK
126,1,Neutral,"Stop that. Jess! You just talk anyhow.. Nigeria is bad today because of this zuggi mentality. Come out here to tell us it's good like 10k can feed you in a month. Nonsense. Sell Your vote oh, na check point you go soon find yourself, eating agbado and cassava."
127,0,Not Hate,Love you too
128,0,Not Hate,bruh. you dont need therapy i personally think you need to be told the truth.. your opinions dont matter.. and this guys replying you might have given you the wrong idea.. you are as irrelevant as everything else.. NO BODY CARES ABOUT YOU. mumu man.
129,2,Hate,"Help me inform that Honourable Mrs to give her children and extended family to Fulani herdsmen to be killed and thereafter, i can take her serious. Useless"
134,0,Not Hate,LINK Jesus loves you ❤️❤️
135,0,Not Hate,Me
138,1,Neutral,True that. Some people are very very dirty. I stopped shaking people's hands at some point but at the office attracted negative comments so I carry hand sanitizer in my pocket always now. You can't imagine where some hands have been to
139,0,Not Hate,Why invite him over to a game you would lose again lol I hope you don’t break his nose this time
141,2,Hate,: AREWA YOUTH TO UN - ARREST US AND HAVE THE BLOOD OF BABOONS (IGBOS) FLOW ON THE STREETS OF NORTHERN NIGERIA LINK
142,0,Not Hate,Papa Ade and Ade😂
143,0,Not Hate,2. He wasn't a developer but he saw huge potentials in young Nigerians who were about to graduate with zero work experience. They were hardworking &amp; educated. His company kickstarted major advancements in internet portal technology &amp; software development.
144,2,Hate,Useless Northerners talking of Islam when ur all hypocrites do Islam support gay last time I checked e plenty 4 north pass 😂😂😂
147,2,Hate,"Do you want me to give u her address so u can go and drag her directly... werey omo jatijati ni e ,all of u senseless northerners flexing muscle on the southerners, don’t worry guys,u shall meet ur Waterloo come 2023. Shabi u have started from kidnapping and killings."
148,2,Hate,Yoruba ronu. Yorubas are been blindfolded with religion to vote against Tinubu but at home with another Hausa Fulani Muslim called Atiku while igbos are supporting one of their own Peter Obi. Yoruba Ronu yin ooooooo
149,2,Hate,"Jew Killers in Nigerian are Terrorist &amp; and their South East Governor collaborrators,,,,,,,,,,,,,, LINK"
150,2,Hate,"play good football and stay off of that madness,homosexuals are insane people animals don't gay not to talk of humans"
151,0,Not Hate,A New Restaurant Where Completely N*ked People Can Go to Eat is About to Open (Photos) LINK Via
152,1,Neutral,Pls no kill urself or take anything personal idiot. Am not talking down on woman in anyway and neither do I need anyone's validation to be whomever I choose to be. And yes you are a stupid man in all ramifications
153,1,Neutral,Do you see how stupid you are??? I guess not Cos this jealousy has blinded you. Go play with your age mates BABY girl.... run along. there are levels to this shit so let her be LINK
154,2,Hate,Wallahi matar nan kamar batada hankali. Irinsu ne suke kokawa da mijin su suke buga musu weapon. Jst pathetic of the feminine gender. Tufia😠
155,0,Not Hate,This life no balance
157,1,Neutral,"Now that he is dead, do you have your Biafra? Senseless fool."
159,0,Not Hate,plz ff bck
160,2,Hate,"This ode is still using twitter to advertise his almajiri app. Even of you dash me this app for free, I will not take it. Very useless app."
161,0,Not Hate,hehehehehe fake news y....... 😯 LINK
163,2,Hate,Such a Yoruba fool. FFK and Fayoshe go to any churches in the west to preach hate of any parties? You are a pig.
164,1,Neutral,Idi Amin Dada being carried by his slave Europeans.. LINK
165,1,Neutral,I can't be threading words with Oloriburuku someone like you
166,0,Not Hate,+3 The whole drama is a conspiracy to eliminate Muslims in the so called southern Kaduna just for pure hatred of Islam.
167,0,Not Hate,: PHOTOS; See the Primitive Village Where Women Breastfeed Animals LINK
168,0,Not Hate,NP - rise up
169,0,Not Hate,"HIM NEVA SEE ANYTIN, NNAMDI WANTS TO DIVIDE NIGERIA.MY MALO GF LIKES AMALA, MY IGBO GF LIKES SUYA, MY YORUBA GF LIKE KILICHI."
170,2,Hate,😂😂😂 Nigerians are wicked people
171,0,Not Hate,Omg!The guy in this picture leaks this pretty girl sex video on BBM 18+ Only See Video Here=-&gt; LINK
172,0,Not Hate,You wear beret in Nigeria... Girl : Chorister Boy : Cultist 🤦🏾♂️
173,0,Not Hate,Make village no put hands nah
174,0,Not Hate,Respect Nigerian Women!! 🙌🏻🙌🏻
176,0,Not Hate,"If you didn't go to at least 3 different classroom to look for duster, just forget it, you never went to a Nigerian school 🤣 LINK"
177,0,Not Hate,": lol 😂 even if it’s 2 am, I must still go home, the guys dey shock, God has been so protective"
179,0,Not Hate,"suddenly, Fulani herdsmen are no longer attacking villages; All Fulanis are no longer killer herdsmen; Hausa Fulanis are no longer ""Born to Rule""; Islamizing Nigeria is no longer being revealed to the politicians on... LINK"
183,2,Hate,Hoe are you dear hope you are enjoying it
186,0,Not Hate,Stars faking hot bods?: LINK
187,1,Neutral,"The show is on /GULDER ULTIMATE SEARCH/were u see grown ass adults realy fooling there selfs, yalk.......:"
188,1,Neutral,Crazy rich Asians
189,1,Neutral,You nigeria girls go and get sense stop behaving stupid
190,2,Hate,This woman is just useless to the South Easterners
191,0,Not Hate,This country is just the absolute ghetto!!!!
193,2,Hate,". It will never be better for these animals called South Africans. God will punish all of you. I've lived amongst these people few years back, majority of them are typical animals. Lazy goats."
194,0,Not Hate,The problem with most Africans is that they have borrowed foreign religious fanaticism as theirs.
195,1,Neutral,Rape??..lolllll..no wonda most chelkshite* fans are *Rapists*
196,2,Hate,"Only idiot will come here and be talking about Big Brother Naija, when your villages has been taking over by the Fulani Janjaweed murderous killers Boko Haram. Please don't allow yourself to be distracted. We must remain focus, BIAFRA is our goal and we must achieve that. LINK"
197,1,Neutral,He wants to please him self and please others he is just a shameless hegoat
198,0,Not Hate,"Make we still marry them fess, they should leave us with God and our punishment"
199,0,Not Hate,Another angle gee
200,0,Not Hate,Ahmed musa a northerner just made us proud as an educated northerner. Stop the primitive way of making herdsmen perpetual illiterates and relegated people without future. Encourage private modern ranch farms. Another Ahmed musa can emerge from them.
201,1,Neutral,Shut TF up nitwit.
204,0,Not Hate,Slm ya kike
205,0,Not Hate,Ghetto Love
206,1,Neutral,When your fucking Fathers were suffering Nigeria was fit and okay and you were suffering idiot with bald hair. We fucking rescue you LINK LINK
207,2,Hate,"I have known that people are malicious but I didn't know that India,South Africa are very stupid&amp;jealous. Did HK discriminate? No. Every1 is sent to an isolation centre till testing. That has helped break the circuit of Covid-19 in HK."
208,2,Hate,Islamists are the worst.
210,1,Neutral,"Verily I tell you the truth. You are a big disgrace, a total failure, the worst of all the president in the history of Nigeria. You're a big scam and you should be jailed for what you've done to this country. Chai na who we offend nah? With all due respect God will punish you. LINK"
211,0,Not Hate,"I think this should serve as a challenge to MURIC, the Almajiri system has completely derailed from its Islamic genesis. Children in the name of Almajiris now become drug addicts, tools for Gay rape etc. If the system cannot be regulated, let it be proscribed!"
212,2,Hate,"Bastards out here screaming ""Racist"" at the whites in the U.S but don't want anything to do with Nigerians from other TRIBES"
214,2,Hate,Some women are very wicked and heartless💔👽 f**kers 😬
215,2,Hate,: So that chaste women can easily be identified from animals LINK
217,1,Neutral,Crazy mofo
218,2,Hate,"The man won't agree with her plea, the man has already disown the daughters, so nothing in this world 🌏 will make the man accept their plea, coz that kind matter fit jail the man. 💔 💔 💔 women 👵 with their cunning attitude, may God save 🙏 us from them."
219,1,Neutral,I hate fpl
220,2,Hate,"Let's talk about oke ogun, so you fulanis are still kidnapping pple there as we speak? Are the yorubas living there so docile? Do you even know yorubas are among the kidnappers there?"
221,1,Neutral,Lil geng shit
222,1,Neutral,"Our problem in the north is most of the honorable sheik Nd fake imans they are very good when it comes to bigotry Nd sycophants, the levels of their hypocrisies is too much. They condemned the protest by saying is haram😭"
223,1,Neutral,"U wnna shoot me?aiiiii shoot da fuck off out ma skull,is even given me a problem tho"
225,2,Hate,: It is so hardddd not to be tribalistic right now. Most of these northerners are disgusting! Are you blind? Did they buy your b…
227,2,Hate,"Who made him Godfather? A large chunk of them are these extremely Stupid, sycophantic, asslicking, illiterate, greedy Yoruba Muslims."
229,0,Not Hate,"Ya Allah ""Islamic is full of prospects and exemplary prophets, leadership is a psycholgical contract a trust to onto them"""
231,2,Hate,: A Fulani governor condemns the unlawful incarceration of Biafran women but useless Igbo governors…
233,2,Hate,RSUST girls are so dumb.... Jesus!!!
234,0,Not Hate,Arrh! This one enter! Lmao 🤣 LINK
235,1,Neutral,Thunder fire you there. Animal!
236,1,Neutral,"Allah, I’m blocking these uninformed idiots who never followed this happenings for the past 4 years then decide to crucify her because she decided to speak. Where are all these hot takes when this woman was constantly bullied in the last 4 years?"
237,1,Neutral,Sister. Goan meet that muslim scholar and tell him he should goan recheck the holy book. Making stupid statements about that can destroy a nation
240,0,Not Hate,Unfortunately they're still blind. LINK
241,2,Hate,Leak Fotos: Angry Igbo Guy Uploads Photos Of Ashewo Girl He Did It With LINK
242,2,Hate,You just Shook the table of non Muslims and Muslim hypocrites.
243,2,Hate,""": Beyonce made d song ""single ladies"" then went home 2 her husband &amp; left all the lonely hoes dancing in a circle"""
245,1,Neutral,"Dan Allah kama Hausa Music industry wa'azi, in har baza suyi yadda yarbawa suke yi ba Wallahi, to whl akwai kura, Yarbawa basa ganin dan uwansu da talent su kyale shi, yarbawa whl na mugun son nasu, amma kaga arewa ne kawai daban duk sauran mugaye"
246,1,Neutral,"He's just a fool, inciting the northerners telling them the shouldn't join the protest saying the aim is just to force Buhari out.. He's just a clout chaser"
247,1,Neutral,Go fuck yourself... Retard
248,0,Not Hate,Hahahaha so kike tace tasata sprite na water inside
249,2,Hate,"Niggas don't realize pulling hoes is not an accomplishment, anybody can pull a HOE, try to pull a real WIFE."""
250,0,Not Hate,: Governor Ajimobi’s Daughter Rocks N640k Christian Louboutin Heels (Photo) LINK
251,1,Neutral,"RCCG allows themselves to be the final chess piece. The pastors are always quick to quote Elijah ""If I be a man of God"". Yet it was the same Elijah that always called Ahab out on his bullshit. Have we ever seen them call out Leaders? Instead they are doing low budget bambiala"
253,2,Hate,Never stress over a hoe... aint loyal#
254,2,Hate,don't EVER be ashamed of who you are. unless you a hoe... then be ashamed bitch.
255,1,Neutral,"Not even a Southern Christian but a Southern Kaduna Christian from Northern Nigeria, Gov would have been joined in the bigotry suit to be filled by the likes of FFK, KUKAH, Middle Belt Forum...etc! Yeye people!"
256,2,Hate,The killings in zamfara and some northern parts will cause crises for them between Fulanis and Hausas.. they all know them selves but their religion is just the weak point for them go read about usman dan fodio the evil Fulani man that put them together with religion shit
257,2,Hate,"Bandits take over Abuja and Kaduna, Terrorist hold sway in Bornu, Fulani herdsmen kidnapping in Enugu while stealing and raping in Ogun state. Niggeria is already destroyed waiting for the final dissolution. All hail Biafra!"
258,0,Not Hate,i'll catch u on sunday. Nutty geh
260,0,Not Hate,"dear brother, Agbatan laa ngba ole, the struggle you must be concluded. Igangan and Yewa ketu in Ogun state people are still under attacks by the Fulani herdsmen. Please don't abandoned your people. We count and trust even more our so called Governor and politicians."
261,0,Not Hate,I will judge lampard from next week I'm running outa patience
262,1,Neutral,you're a disgraced man! f*ck🖕you dick-head for disrespecting Our 🇳🇬 names without an apology.
263,2,Hate,"This man is a fool, if Christians were to behave like Muslims, they will start burning houses. Mad religious begot. efulefu. Aturu"
264,1,Neutral,Lebanon is a occupied territory by the Arabs hitherto inhabited by Christians hence the litany of sympathy messages from the hypocrates who will never raise a voice against the killings in SK by Fulani militia herdsmen.
267,1,Neutral,Modern day slaves should know when to shut up LINK
268,0,Not Hate,Join us tomorrow as we honour our amazon! LINK
270,2,Hate,"Shuwa gigs as I realized here in Lagos are so arrogance,proud,feelings,they prefer southerners people more than northerners,and they seems as they are d only Muslim, or Arab than anyone LINK"
271,0,Not Hate,"It is very certain that we the citizens of Biafra must take our destinies into our hands since we ar left with no choice. The Nigerian army and police have killed us enough so we say enough is enough we ar not animals even animals have right to life, how much more humans beings."
272,1,Neutral,Oga shut up look for your money... They won't still calling ur race cow And almajiri.......
274,1,Neutral,"Erica opened her stinking mouth to say she could have won. Won which show? That girl is real daft oh, her fans have really brainwashed her. I am sure she still thinks she topped the votes every week 🤡🤡🤡🤡"
275,1,Neutral,"You must be so dumb for spewing out this trash, are d igbos selling spare parts in d north killing ur people? Didn't they pay for the shops they rented in carryin out their legal businesses with taxes? How much are d fulanis paying? Anyway I don't u, they are even killin d Hausas"
276,2,Hate,": Moron of the day &gt; If Britishers were armed like Americans,muslims won't be killing and rapping…"
277,0,Not Hate,"Oga zaddy, progress de make semo on top ya head tonight"
279,2,Hate,"Reno-The President, Defence Minister, Chief of Army Staff, IG are northerners, yet north is insecure (mad people)"
280,2,Hate,"Black people think like animals, why can they not used such force to eliminate Fulani terrorists and bokoharam terrorists rather killing armless civilians in Lagos, send them to sabisa mumu."
281,1,Neutral,Yoruba demon🤣🤣😭 LINK
282,0,Not Hate,“: Nigerian tribe with the highest population of Christians? ”Igbo !
283,1,Neutral,": If she doesn’t scream during sex, impregnate her..my brother she will scream in labour. I hate stubborn girls😫😂🆓"
284,1,Neutral,when I know say u dey craze
285,0,Not Hate,Olamide star power is a 100! 'Who you epp' when my warri niggers don make since 2011 naim de reign brand new as Olamide drop am.
290,1,Neutral,"Why then did Biden and Obama impose Buhari on Nigeria, despite intelligence reports that showed he was a coup plotter, Muslim fanatic and nepotistic. The Democrats aren't interested in the welfare of Africans. They only care about Muslims and gays."
291,0,Not Hate,"he won't e even scale through APC primaries, plus the hatred he has created for himself from Christians. If the North are tired of Being a part of Nigeria, let them put El rufai forward as another buhari. Then "" the monkey and Baboon to be soak in blood"" quote 4rm BUHARI LINK"
292,1,Neutral,nawa 4ur analysis oh!“: Ugly gurls are d ones wif more followers :(”
293,2,Hate,How we treat your whore wife in this rainy season LINK
294,1,Neutral,Omo na just nonsense in the name of rebranding.
295,0,Not Hate,Terrorists have attacked the Kaduna airport and Railway track less than a week apart but politics is more important. It is rather unfortunate…
296,0,Not Hate,": If you count down from 10 at exactly 23:59:50 on New Year's Eve, you'll hit zero as soon as the new year arrives."
297,0,Not Hate,: My name is Aisha Somtochukwu Yesufu . Any threat to Igbo people is a threat to me. An attack to Igbo people is an…
298,1,Neutral,Mugun Fulani slave. If you comfortable with your One Nigeria go and live in southern Kaduna for 3years or Zamfara you’re making mouth on Twitter. A’rindin agba 😂😁😂🤣
299,0,Not Hate,: Come and see somebody's daughter and wife 🥰🥰. Happy Birthday to the woman I'm honored to do this life shit with.
301,1,Neutral,"At your age, you should mature enough to contribute to public opinion, the concept was about ""Biafra land"" instead out of stupidity you decided to insult the women in Edo by calling them ashawo and I gave a better answer with facts"
302,1,Neutral,Stupid fool.. When yu sleep at night what goes thru ur mind? Is dat wat Islam taught yu to do in a situation like dis
303,0,Not Hate,Forget about the real...is a total package waste😭
304,2,Hate,"Tomorrow this fool will say . and expect normal human beings to trend it. Northerners are selfish, wicked and stupid. Staying as citizens of one country with them is silly. They are heartless. is the answer."
306,1,Neutral,""": She a hoe if she texts ""heyy"" because the second y means ""y u not over here hitting this pussy"""""
308,0,Not Hate,See if ozo and Nengi don't stay together for long time eeeh they will eat my girl raw😂😂😂😂
309,1,Neutral,"If they flaunt your advice and keep up with their vile practice aimed at exterminating humankind, ~punch them in the f*cking face~ get out of that vehicle as quickly as possible. I guess all I'm trying to say is I want you all to be alive, well and enjoy your life! ☮️"
310,0,Not Hate,manu 5while liverpool 1take it or leave it
312,1,Neutral,Idiot
313,0,Not Hate,"Biafra my home,pls if don't like it,been Biafra you must like it,my fire by force, see killing, raping,damagingly, I have been done,no going back LINK"
315,2,Hate,"Nnamdi Kanu: All Igbos Not In Support Of Biafra Are Pigs ,Evils and Child of Satan --Read More Click Here LINK LINK"
316,2,Hate,So you like what the soldiers did to the protesters. Why are you all like this. A creul Northerners.
317,1,Neutral,And Gunshots are good melodies to the ear abi? Nice one!! Na you try pass lass lass LINK
318,1,Neutral,lol see you yoruba demon everywhere!!!!
319,2,Hate,🤣😂🤣😂🤣😂🤣😂🤣😂 dat is how u northerners behave I'm not surprised Everything on u guys head is pu***y and violence
320,1,Neutral,"Some people have nasty ass feetttt "": I relateeeeeee. Feet are disgusting"""
321,1,Neutral,"Adesanya's Yoruba Language translation to English Language ~ ""I will punch you, you will be surprised; you this dumb/fool"""
322,2,Hate,Hate calling the women bitches but the bitches love it
323,1,Neutral,Me: I knw d lyrix of dear ann.....my frendz: OMG pls sing it we wanna hear...ME: I'm kinda shy...my frndz: pllllz...ME: FUCK IT I lied....
324,1,Neutral,"Governors in Nigeria, especially from northern Nigeria, particularly from North Central inherits revolution.Infact,some of these lazy children of the federal government(states)'s leaders doesn't think inward."
327,2,Hate,"Nigerian Animal Farm: Monkey dey work, baboon dey chop! Southerners dey work northerners dey chop lazy LINK"
328,1,Neutral,"IT IS BETTER TO DIE A HERO OF THE DEMOCRATIC STRUGGLE IN NIGERIA, THAN TO LIVE AS AN INCONSEQUENTIALLY LEARNED SENILE FOOL LIKE ITSAY SAGAY."
329,2,Hate,"Now I can understand where ur passion lies, to have a country fashioned in ur Islamic fundamentalists styles Well the north is a parasite so I'm not surprised, u talked about taxes, taxes that come from Nig Brewery, Guinness PLC &amp; co...? Hypocrites is ur second name."
330,0,Not Hate,"Paul call them foolish and Bewitched because after that they have believe the Gospel unto salvation as a gift and not of works, they later begin to put up with certain teachers of works for salvation."
333,2,Hate,"Hausas, National cake sharers, political terrorist and slave masters of it's own people"
334,0,Not Hate,girlz are naggers not niggas.. Guys you need to wise up.
335,0,Not Hate,Pentagon May Court Martial Soldiers Who Share Christian Faith LINK
336,1,Neutral,You're just dumb. You're not smart at all. Because of my name you just assumed I'm Fulani. Why do dumb people like u like to tribalize anything. Arindin omo
339,2,Hate,Eenie meenie mynie mo ur mother wus a hoe!
340,1,Neutral,I wonder how many APC E-diots Woye have damaged their brain with lies and deceit.
343,1,Neutral,Our nation is too great to be handled by idiots and fools.
344,1,Neutral,"Latest News: Transgender women given access to Hampstead Heath ponds A campaigner says the policy to allow transgender women to use a women-only pond is ""absolutely disgusting"". LINK 2019-05-23 13:41:29Z"
345,0,Not Hate,Its was exciting to have a participant at the April Workshop held share her experience with the world. More exciting is the fact that she will be coaching others this Oct. Visit LINK to apply. Attendance is free! LINK
346,0,Not Hate,wannan kaman hausa bakwae ne ae
347,1,Neutral,Adamu Garba is the greatest Clown on earth for trying to sue 😂😂 why don't he go and create his own app and push it to blow like Twitter ..Nonsense 👎🏿👎🏿🇳🇬🇳🇬
350,2,Hate,: Buhari and his Boko Haram Hausa/Fulani brothers are working very hard to destroy West Africa. HELP! LINK
351,1,Neutral,"Lol una dey go on date and una never make out, lmao. She get am for mind to love you but e never reach. Una matter just get as e be. She could be be genuine but shallow or she could just be dead shallow; either ways, baba mueveee...."
