text,language,class,label,source_id,text_proc,n_chars,n_words,rep_unigram,rep_trigram,is_artifact,detected_lang_raw,detected_lang_conf,detected_lang,is_code_switched,split
"All Diz hoe nd bitches be acting like ""We Run The Town""",English,2,Hate,23,"All Diz hoe nd bitches be acting like ""We Run The Town""",55,12,0.0,0.0,False,eng_Latn,0.973501682281494,English,False,train
No region is as tolerant as the North. You see Yorubas/Igbo living comfortably in every part of the North while the crimes of a few herdsmen affects every Northerner living in the southern Nigeria This has to stop. is LINK,English,0,Not Hate,25,No region is as tolerant as the North. You see Yorubas/Igbo living comfortably in every part of the North while the crimes of a few herdsmen affects every Northerner living in the southern Nigeria This has to stop. is,217,39,0.0,0.0,False,eng_Latn,0.9986640214920044,English,False,train
"Wallahi if u equate lesbians &amp; homosexuals 2 animals lyk pig then u r not being fair 2 animals, even animals don't hv desire 4 the same sex!",English,2,Hate,27,"Wallahi if u equate lesbians &amp; homosexuals 2 animals lyk pig then u r not being fair 2 animals, even animals don't hv desire 4 the same sex!",144,28,0.0,0.0,False,eng_Latn,0.4786668419837951,English,False,train
Black Americans are the worst LINK,English,1,Neutral,29,Black Americans are the worst,29,5,0.0,0.0,False,eng_Latn,0.9998793601989746,English,False,train
sodebaba Second man arrested over rape of Indian child: Suspect detained in eastern state of Bihar in connecti... LINK,English,0,Not Hate,31,sodebaba Second man arrested over rape of Indian child: Suspect detained in eastern state of Bihar in connecti...,113,18,0.0,0.0,False,eng_Latn,0.9961265325546264,English,False,train
lols,English,0,Not Hate,33,lols,4,1,0.0,0.0,False,lvs_Latn,0.9998503923416138,Other,True,train
"Very sickening to know that the father gave consent.I really appreciate the bros making the video,he is actually doing this to stop the bullshit,not like those who would wait till tins get worse and then video it for clout! Poor child! LINK",English,1,Neutral,34,"Very sickening to know that the father gave consent.I really appreciate the bros making the video,he is actually doing this to stop the bullshit,not like those who would wait till tins get worse and then video it for clout! Poor child!",235,41,0.0,0.0,False,eng_Latn,0.9962483644485474,English,False,train
Half a yellow sun is out in theaters &amp; the war never ended honour Hero's pls Starved kids,English,0,Not Hate,35,Half a yellow sun is out in theaters &amp; the war never ended honour Hero's pls Starved kids,93,18,0.0,0.0,False,eng_Latn,0.9821573495864868,English,False,train
"I wish I ave seen dis book b4 now MEN LOVE bitches# single or in a relationship,go get it Ladies.Gud Goons",English,2,Hate,36,"I wish I ave seen dis book b4 now MEN LOVE bitches# single or in a relationship,go get it Ladies.Gud Goons",106,21,0.0,0.0,False,eng_Latn,0.8645275235176086,English,False,train
: The NASS should also go ahead to put down a law that ban open grazing across Nigeria by 2026. While the Southern States…,English,0,Not Hate,37,The NASS should also go ahead to put down a law that ban open grazing across Nigeria by 2026. While the Southern States…,120,23,0.0,0.0,False,eng_Latn,0.997639000415802,English,False,train
Little grls still fall for looks and swag bitches fall for money but a grown woman falls for stability and security....,English,1,Neutral,38,Little grls still fall for looks and swag bitches fall for money but a grown woman falls for stability and security....,119,21,0.0,0.0,False,eng_Latn,0.9953655004501344,English,False,train
The Government ordered the Nigerian military to kill its own citizens Unarmed protesters fighting for their right Oh what a shame! BUHARI Shame on you and your Regime. You have failed this Nation LINK,English,1,Neutral,39,The Government ordered the Nigerian military to kill its own citizens Unarmed protesters fighting for their right Oh what a shame! BUHARI Shame on you and your Regime. You have failed this Nation,195,33,0.0,0.0,False,eng_Latn,0.9984113574028016,English,False,train
You're in a contemplative mood today and there's really not mu... More for Cancer LINK,English,0,Not Hate,40,You're in a contemplative mood today and there's really not mu... More for Cancer,81,14,0.0,0.0,False,eng_Latn,0.9983323216438292,English,False,train
"You Oyomere people don’t have sense, you know say una door no get lock but una go dey gum body. See idolo now yeye dey smell 😒😒",English,1,Neutral,42,"You Oyomere people don’t have sense, you know say una door no get lock but una go dey gum body. See idolo now yeye dey smell 😒😒",127,27,0.0,0.0,False,pcm_Latn,0.9998605251312256,Other,True,train
Where can I watch the City match?,English,0,Not Hate,43,Where can I watch the City match?,33,7,0.0,0.0,False,eng_Latn,0.9992771744728088,English,False,train
"Justice? Are you aware of how the FG are defending their fulani people against gov. Akeredolu on ondo state? Why're some yoruba people so senseless and coward fgs, trying to be politically correct while the politicians aint even working",English,2,Hate,44,"Justice? Are you aware of how the FG are defending their fulani people against gov. Akeredolu on ondo state? Why're some yoruba people so senseless and coward fgs, trying to be politically correct while the politicians aint even working",236,39,0.0,0.0,False,eng_Latn,0.9700910449028016,English,False,train
i hopethey are hearing beast of no burden,English,1,Neutral,45,i hopethey are hearing beast of no burden,41,8,0.0,0.0,False,eng_Latn,0.9760612845420836,English,False,train
""": Bitches should not drink alcohol if they cant control that shit""",English,2,Hate,46,"Bitches should not drink alcohol if they cant control that shit""",64,11,0.0,0.0,False,eng_Latn,0.9994350671768188,English,False,train
"Nasir must go back to school, not to learn this time but to teach- Fashola",English,0,Not Hate,47,"Nasir must go back to school, not to learn this time but to teach- Fashola",74,15,0.0,0.0,False,eng_Latn,0.9762336611747742,English,False,train
Social distancing in lagos if this was in kano the next the u would hear is all those northerners re illiterate some southern clowns would even calls us animals thank God lagos has lot of animals LINK,English,2,Hate,48,Social distancing in lagos if this was in kano the next the u would hear is all those northerners re illiterate some southern clowns would even calls us animals thank God lagos has lot of animals,195,36,0.0,0.0,False,eng_Latn,0.9986444115638732,English,False,train
"Jamb question, are Fulani not human being this is how d racism started, u are separate ur country man with this so called religion foke",English,1,Neutral,49,"Jamb question, are Fulani not human being this is how d racism started, u are separate ur country man with this so called religion foke",135,25,0.0,0.0,False,eng_Latn,0.9716686606407166,English,False,train
My Hoes ain't loyal mehn they Rotate,English,2,Hate,50,My Hoes ain't loyal mehn they Rotate,36,7,0.0,0.0,False,lim_Latn,0.3829403817653656,Other,True,train
:..Ɣou re mad for dt post...don't Ɣou av shame....akhhh...Ɣou re a disgrace to womanhood,English,1,Neutral,52,Ɣou re mad for dt post...don't Ɣou av shame....akhhh...Ɣou re a disgrace to womanhood,85,14,0.0,0.0,False,jam_Latn,0.4131701290607452,Other,True,train
"Is a hoe. : Dry joke"": :''') "": A girl sleeping with her bosses is also doing her MASTERS""""",English,2,Hate,53,"Is a hoe. : Dry joke"": :''') "": A girl sleeping with her bosses is also doing her MASTERS""""",91,19,0.0,0.0,False,eng_Latn,0.9935935139656068,English,False,train
"I hope and wish this deadly virus ends asap, this is heart breaking",English,0,Not Hate,55,"I hope and wish this deadly virus ends asap, this is heart breaking",67,13,0.0,0.0,False,eng_Latn,0.998835265636444,English,False,train
Africans with greediness? It's not everyone that will get the giveaway bro and you're even using an iPhone....lolz,English,1,Neutral,56,Africans with greediness? It's not everyone that will get the giveaway bro and you're even using an iPhone....lolz,114,18,0.0,0.0,False,eng_Latn,0.998348832130432,English,False,train
This still places men above women. There’s explaining away the misogynistic tendencies of the Bible. LINK,English,0,Not Hate,60,This still places men above women. There’s explaining away the misogynistic tendencies of the Bible.,100,15,0.0,0.0,False,eng_Latn,0.9967355728149414,English,False,train
Coronavirus: Nigeria Senate Suspends Public Hearings Indefinitely LINK,English,0,Not Hate,61,Coronavirus: Nigeria Senate Suspends Public Hearings Indefinitely,65,7,0.0,0.0,False,eng_Latn,0.9912778735160828,English,False,train
Mallam literally means teacher in hausa,English,0,Not Hate,62,Mallam literally means teacher in hausa,39,6,0.0,0.0,False,eng_Latn,0.9952120780944824,English,False,train
What happens to police men who litter their seed everywhere with women they’re not married to? Nigeria’s sexism and misogyny is terribly institutional. LINK,English,2,Hate,63,What happens to police men who litter their seed everywhere with women they’re not married to? Nigeria’s sexism and misogyny is terribly institutional.,151,23,0.0,0.0,False,eng_Latn,0.998798668384552,English,False,train
"Yoruba u na eye no go open? .your people are hungry, you still want next level of poverty.There is nothing in Yoruba land that's why you na dey follow follow.Mumu people.Hausa slaves.🤣😂😁",English,2,Hate,64,"Yoruba u na eye no go open? .your people are hungry, you still want next level of poverty.There is nothing in Yoruba land that's why you na dey follow follow.Mumu people.Hausa slaves.🤣😂😁",186,32,0.0,0.0,False,pcm_Latn,0.983362317085266,Other,True,train
Rubbish jare !! So why did you buy Lukaku if havertz was really tested. Havertz wey de disappear for game,English,1,Neutral,65,Rubbish jare !! So why did you buy Lukaku if havertz was really tested. Havertz wey de disappear for game,105,20,0.0,0.0,False,eng_Latn,0.6835525035858154,English,False,train
But the western world are giving false news saying Ukrainian are winning the war and Russian are loosing army.,English,0,Not Hate,67,But the western world are giving false news saying Ukrainian are winning the war and Russian are loosing army.,110,19,0.0,0.0,False,eng_Latn,0.9934085607528688,English,False,train
"That's the most cheapest assertion and mind political game I have ever experienced. The Carmel would have passed through the niddle before an Ibo man can rule Lagos. Please oga sanwo olu, kindly change topic and station. LINK",English,0,Not Hate,68,"That's the most cheapest assertion and mind political game I have ever experienced. The Carmel would have passed through the niddle before an Ibo man can rule Lagos. Please oga sanwo olu, kindly change topic and station.",220,37,0.0,0.0,False,eng_Latn,0.99797260761261,English,False,train
Both Manchester clubs are useless.,English,1,Neutral,69,Both Manchester clubs are useless.,34,5,0.0,0.0,False,eng_Latn,0.9998775720596312,English,False,train
"Yo boss Rita, I made a video asking girls why they FRIENDZONE guys. My only request is you help me drop a like on the video and subscribe. Thanks, it means a lot LINK",English,0,Not Hate,71,"Yo boss Rita, I made a video asking girls why they FRIENDZONE guys. My only request is you help me drop a like on the video and subscribe. Thanks, it means a lot",161,33,0.0,0.0,False,eng_Latn,0.997531235218048,English,False,train
Some of you Igbos and Yorubas are so stupid that you keep fighting each other for no reason why the real enemy is somewhere blowing whistle for u guys. They called all the south vultures and u guys dt claim to be informed are here talking non sense. God pls divide this shit hole.,English,2,Hate,73,Some of you Igbos and Yorubas are so stupid that you keep fighting each other for no reason why the real enemy is somewhere blowing whistle for u guys. They called all the south vultures and u guys dt claim to be informed are here talking non sense. God pls divide this shit hole.,280,54,0.0,0.0,False,eng_Latn,0.9624361395835876,English,False,train
Northerns are the worst hypocrites in the world . No wonder their region is the poorest in the world too ..,English,2,Hate,74,Northerns are the worst hypocrites in the world . No wonder their region is the poorest in the world too ..,107,21,0.0,0.1052631578947368,False,eng_Latn,0.9973281025886536,English,False,train
ya kike,English,0,Not Hate,75,ya kike,7,2,0.0,0.0,False,swc_Latn,0.5115472078323364,Other,True,train
Ati christian o ati unchristian o...ko bojumu. LINK,English,0,Not Hate,76,Ati christian o ati unchristian o...ko bojumu.,46,7,0.0,0.0,False,yor_Latn,0.9834575653076172,Yoruba,True,train
": Rain soaked, women put their shoes on the head and marched on LINK",English,0,Not Hate,78,"Rain soaked, women put their shoes on the head and marched on",61,12,0.0,0.0,False,eng_Latn,0.9900268912315368,English,False,train
am d afrik twista. I twist criticizers like u til u stupidly criticize ur crazy self,English,1,Neutral,80,am d afrik twista. I twist criticizers like u til u stupidly criticize ur crazy self,84,16,0.0,0.0,False,eng_Latn,0.8024447560310364,English,False,train
Women are total scums 😔 LINK,English,2,Hate,81,Women are total scums 😔,23,5,0.0,0.0,False,eng_Latn,0.9877911806106568,English,False,train
Nurturing young minds around the world the African way ;) LINK,English,0,Not Hate,82,Nurturing young minds around the world the African way ;),57,10,0.0,0.0,False,eng_Latn,0.9715322852134703,English,False,train
"If I am not mistaken, I am a happily married woman with 3 kids anuohia. U all dont have even an iota of sense.",English,1,Neutral,84,"If I am not mistaken, I am a happily married woman with 3 kids anuohia. U all dont have even an iota of sense.",110,24,0.0,0.0,False,eng_Latn,0.9967674612998962,English,False,train
Illiteracy is a setback... fool,English,1,Neutral,86,Illiteracy is a setback... fool,31,5,0.0,0.0,False,eng_Latn,0.999413251876831,English,False,train
You are a foolish and degenerated fool for lacking wisdom to come on Twitter to post such trash you should be ashamed at yourself. I rest my case. LINK,English,1,Neutral,88,You are a foolish and degenerated fool for lacking wisdom to come on Twitter to post such trash you should be ashamed at yourself. I rest my case.,146,28,0.0,0.0,False,eng_Latn,0.9995348453521729,English,False,train
Nigerian Government is responsible. They are the employers of the terrorists. Their sole aim is the Conquest of the whole land and their stooges in the East are giving them the guts to keep attempting the impossible. God will surely destroy Nigeria. LINK,English,2,Hate,89,Nigerian Government is responsible. They are the employers of the terrorists. Their sole aim is the Conquest of the whole land and their stooges in the East are giving them the guts to keep attempting the impossible. God will surely destroy Nigeria.,249,42,0.0,0.0,False,eng_Latn,0.9984543919563292,English,False,train
: Every smart person playing dumb should be called...has Gumi met those who are agitating for Biafra &amp; Oodua Republic?,English,1,Neutral,92,Every smart person playing dumb should be called...has Gumi met those who are agitating for Biafra &amp; Oodua Republic?,120,19,0.0,0.0,False,eng_Latn,0.9801113605499268,English,False,train
God punish ur father &amp; ur prostitute mother like Nengi.. it’s only a dog 🐕 like ur girl that will open her dirty mouth 👄 &amp; day shenanigans here.. when Nengi has showed her real identity Fucker LINK,English,1,Neutral,93,God punish ur father &amp; ur prostitute mother like Nengi.. it’s only a dog 🐕 like ur girl that will open her dirty mouth 👄 &amp; day shenanigans here.. when Nengi has showed her real identity Fucker,200,37,0.0,0.0,False,eng_Latn,0.9262287020683287,English,False,train
"There's no place in the Bible that states Christians shouldn't eat pig. Despite that, discouraging homosexuality is not the same as hating homosexuals. In fact, all true Christians should love LGBTQ people. Christ didn't turn away 'the adulterous' woman.",English,0,Not Hate,94,"There's no place in the Bible that states Christians shouldn't eat pig. Despite that, discouraging homosexuality is not the same as hating homosexuals. In fact, all true Christians should love LGBTQ people. Christ didn't turn away 'the adulterous' woman.",254,39,0.0,0.0,False,eng_Latn,0.99608713388443,English,False,train
You are a mumu you don't have anything to contribute so typed this 🤦🏽♂️,English,1,Neutral,95,You are a mumu you don't have anything to contribute so typed this 🤦🏽♂️,71,14,0.0,0.0,False,eng_Latn,0.9902656674385072,English,False,train
Same LINK,English,0,Not Hate,97,Same,4,1,0.0,0.0,False,fij_Latn,0.9999659061431884,Other,True,train
"If it's a boy, he's a King If it's a girl, she's a hoe",English,2,Hate,98,"If it's a boy, he's a King If it's a girl, she's a hoe",54,14,0.0,0.1666666666666666,False,jam_Latn,0.5738081932067871,Other,True,train
*haaa broke Ass bastard filthy shitty bum hole... Gay swine go fuck a whale mustard.... Smelly rusty teeth,English,2,Hate,100,*haaa broke Ass bastard filthy shitty bum hole... Gay swine go fuck a whale mustard.... Smelly rusty teeth,106,18,0.0,0.0,False,eng_Latn,0.7916786670684814,English,False,train
you cares more about Mali why fulanis are busy killing people in Nigeria. LINK,English,2,Hate,101,you cares more about Mali why fulanis are busy killing people in Nigeria.,73,13,0.0,0.0,False,eng_Latn,0.996716558933258,English,False,train
"How to use VPN 👉Download any FREE VPN 👉Choose any country you like 👉Tap connect 👉Click get later 👉Then Start Tweeting Gen. Buhari and and Fulani Stupidity. Awon Eranko lasan lasan can't make make , their Slave. If you need info? Tweet it HERE! LINK",English,0,Not Hate,104,"How to use VPN 👉Download any FREE VPN 👉Choose any country you like 👉Tap connect 👉Click get later 👉Then Start Tweeting Gen. Buhari and and Fulani Stupidity. Awon Eranko lasan lasan can't make make , their Slave. If you need info? Tweet it HERE!",243,44,0.0227272727272727,0.0,False,eng_Latn,0.9524883031845092,English,False,train
one person followed me // automatically checked by LINK,English,0,Not Hate,105,one person followed me // automatically checked by,50,8,0.0,0.0,False,pcm_Latn,0.9992563724517822,Other,True,train
Iwon ba ni idi ma n to bi' I hope my Yoruba is correct 😀,English,0,Not Hate,106,Iwon ba ni idi ma n to bi' I hope my Yoruba is correct 😀,56,15,0.0,0.0,False,yor_Latn,0.9618112444877625,Yoruba,True,train
": ""Dogs &amp; Baboons will be soaked in blood if I lose"" ~We made him President ""Defend yourselves from Fulani herdsmen"" ~D…",English,2,Hate,107,"Dogs &amp; Baboons will be soaked in blood if I lose"" ~We made him President ""Defend yourselves from Fulani herdsmen"" ~D…",121,21,0.0,0.0,False,eng_Latn,0.996029794216156,English,False,train
"Igbo is most foolish tribe in the world, according to Uwazuruike. Do you also agree to this? Most of you just come online after getting daily 10mb from network providers to throw tribal slurs. Idiot. LINK",English,2,Hate,108,"Igbo is most foolish tribe in the world, according to Uwazuruike. Do you also agree to this? Most of you just come online after getting daily 10mb from network providers to throw tribal slurs. Idiot.",199,35,0.0,0.0,False,eng_Latn,0.9989452958106996,English,False,train
cos dis hoes don't giv sex for free except u are wizkid so y giv dem tips for free,English,2,Hate,109,cos dis hoes don't giv sex for free except u are wizkid so y giv dem tips for free,82,19,0.0,0.0,False,pcm_Latn,0.9567175507545472,Other,True,train
: A hausa man will not cheat you simply because you don't understand his language or practice his religion!🧏♂️,English,0,Not Hate,110,A hausa man will not cheat you simply because you don't understand his language or practice his religion!🧏♂️,108,18,0.0,0.0,False,eng_Latn,0.9823718667030334,English,False,train
They made them their hoe 😂 LINK,English,2,Hate,111,They made them their hoe 😂,26,6,0.0,0.0,False,eng_Latn,0.6809690594673157,English,False,train
"Lmao the stupidity, I am 6ft 3 inches tall, athletic and i lift weights yet i cannot go out for a walk by 2 am not cos of my gender but the insecurity in Nigeria cannot differentiate between a man and a woman, you dumwit. LINK",English,1,Neutral,112,"Lmao the stupidity, I am 6ft 3 inches tall, athletic and i lift weights yet i cannot go out for a walk by 2 am not cos of my gender but the insecurity in Nigeria cannot differentiate between a man and a woman, you dumwit.",221,45,0.0,0.0,False,eng_Latn,0.986106812953949,English,False,train
Just annoying couples.,English,1,Neutral,113,Just annoying couples.,22,3,0.0,0.0,False,eng_Latn,0.9988036155700684,English,False,train
": A Real Girlfriend: Calls you for NOTHING , texts you alll the time, wants to see you, cries, gets jealous, is over- ...",English,0,Not Hate,114,"A Real Girlfriend: Calls you for NOTHING , texts you alll the time, wants to see you, cries, gets jealous, is over- ...",119,23,0.0,0.0,False,eng_Latn,0.9996306896209716,English,False,train
He was actually right. So u shut the fuck up.,English,1,Neutral,115,He was actually right. So u shut the fuck up.,45,10,0.0,0.0,False,eng_Latn,0.9999822378158568,English,False,train
"Partey tax.. lokonga is already showing glimpses of being a top midfielder in 2-3 years but partey, I don't even see anything elite in him",English,0,Not Hate,117,"Partey tax.. lokonga is already showing glimpses of being a top midfielder in 2-3 years but partey, I don't even see anything elite in him",138,25,0.0,0.0,False,eng_Latn,0.9974344968795776,English,False,train
Trending Nationwide/U.K [New Music] LINK by LINK LINK,English,0,Not Hate,118,Trending Nationwide/U.K [New Music] by,38,5,0.0,0.0,False,eng_Latn,0.7793691158294678,English,False,train
"Matter of fact, if u do, ur jus gay",English,0,Not Hate,119,"Matter of fact, if u do, ur jus gay",35,9,0.0,0.0,False,mlt_Latn,0.4800399839878082,Other,True,train
How do you want him to do it ? He’s useless. LINK,English,1,Neutral,121,How do you want him to do it ? He’s useless.,44,11,0.0,0.0,False,eng_Latn,0.9999008178710938,English,False,train
": Christians, Pastors Call Us Idiots, Animals For Doing Our Job – Lagos FRSC Commander LINK .",English,0,Not Hate,123,"Christians, Pastors Call Us Idiots, Animals For Doing Our Job – Lagos FRSC Commander .",86,15,0.0,0.0,False,eng_Latn,0.3554967641830444,English,False,train
Just say the Arewa people/ Northern Muslims cos they seem to think extremely backwards. Muslims in the West and South are way better than them,English,2,Hate,124,Just say the Arewa people/ Northern Muslims cos they seem to think extremely backwards. Muslims in the West and South are way better than them,142,25,0.0,0.0,False,eng_Latn,0.9967501759529114,English,False,train
Tops haka kike??? LINK,English,0,Not Hate,125,Tops haka kike???,17,3,0.0,0.0,False,kin_Latn,0.5584810376167297,Other,True,train
"Stop that. Jess! You just talk anyhow.. Nigeria is bad today because of this zuggi mentality. Come out here to tell us it's good like 10k can feed you in a month. Nonsense. Sell Your vote oh, na check point you go soon find yourself, eating agbado and cassava.",English,1,Neutral,126,"Stop that. Jess! You just talk anyhow.. Nigeria is bad today because of this zuggi mentality. Come out here to tell us it's good like 10k can feed you in a month. Nonsense. Sell Your vote oh, na check point you go soon find yourself, eating agbado and cassava.",260,49,0.0,0.0,False,eng_Latn,0.9826360940933228,English,False,train
Love you too,English,0,Not Hate,127,Love you too,12,3,0.0,0.0,False,eng_Latn,0.5698665380477905,English,False,train
bruh. you dont need therapy i personally think you need to be told the truth.. your opinions dont matter.. and this guys replying you might have given you the wrong idea.. you are as irrelevant as everything else.. NO BODY CARES ABOUT YOU. mumu man.,English,0,Not Hate,128,bruh. you dont need therapy i personally think you need to be told the truth.. your opinions dont matter.. and this guys replying you might have given you the wrong idea.. you are as irrelevant as everything else.. NO BODY CARES ABOUT YOU. mumu man.,249,45,0.0,0.0,False,eng_Latn,0.994208812713623,English,False,train
"Help me inform that Honourable Mrs to give her children and extended family to Fulani herdsmen to be killed and thereafter, i can take her serious. Useless",English,2,Hate,129,"Help me inform that Honourable Mrs to give her children and extended family to Fulani herdsmen to be killed and thereafter, i can take her serious. Useless",155,27,0.0,0.0,False,eng_Latn,0.9963819980621338,English,False,train
LINK Jesus loves you ❤️❤️,English,0,Not Hate,134,Jesus loves you ❤️❤️,20,4,0.0,0.0,False,eng_Latn,0.9789156913757324,English,False,train
Me,English,0,Not Hate,135,Me,2,1,0.0,0.0,False,spa_Latn,0.999212682247162,Other,True,train
True that. Some people are very very dirty. I stopped shaking people's hands at some point but at the office attracted negative comments so I carry hand sanitizer in my pocket always now. You can't imagine where some hands have been to,English,1,Neutral,138,True that. Some people are very very dirty. I stopped shaking people's hands at some point but at the office attracted negative comments so I carry hand sanitizer in my pocket always now. You can't imagine where some hands have been to,235,42,0.0238095238095238,0.0,False,eng_Latn,0.9997594952583312,English,False,train
Why invite him over to a game you would lose again lol I hope you don’t break his nose this time,English,0,Not Hate,139,Why invite him over to a game you would lose again lol I hope you don’t break his nose this time,96,21,0.0,0.0,False,eng_Latn,0.9933040142059326,English,False,train
: AREWA YOUTH TO UN - ARREST US AND HAVE THE BLOOD OF BABOONS (IGBOS) FLOW ON THE STREETS OF NORTHERN NIGERIA LINK,English,2,Hate,141,AREWA YOUTH TO UN - ARREST US AND HAVE THE BLOOD OF BABOONS (IGBOS) FLOW ON THE STREETS OF NORTHERN NIGERIA,107,21,0.0,0.0,False,eng_Latn,0.925153911113739,English,False,train
Papa Ade and Ade😂,English,0,Not Hate,142,Papa Ade and Ade😂,17,4,0.0,0.0,False,yor_Latn,0.4115525484085083,Yoruba,True,train
2. He wasn't a developer but he saw huge potentials in young Nigerians who were about to graduate with zero work experience. They were hardworking &amp; educated. His company kickstarted major advancements in internet portal technology &amp; software development.,English,0,Not Hate,143,2. He wasn't a developer but he saw huge potentials in young Nigerians who were about to graduate with zero work experience. They were hardworking &amp; educated. His company kickstarted major advancements in internet portal technology &amp; software development.,263,39,0.0,0.0,False,eng_Latn,0.99961119890213,English,False,train
Useless Northerners talking of Islam when ur all hypocrites do Islam support gay last time I checked e plenty 4 north pass 😂😂😂,English,2,Hate,144,Useless Northerners talking of Islam when ur all hypocrites do Islam support gay last time I checked e plenty 4 north pass 😂😂😂,126,23,0.0,0.0,False,eng_Latn,0.8232690095901489,English,False,train
